id	mace	gold
8	elaboration	elaboration
46	identification	identification
155	identification	identification
170	identification	identification
219	elaboration	propertyascription
273	identification	identification
282	identification	identification
352	preparation	identification
363	preparation	elaboration
390	identification	identification
492	identification	identification
658	propertyascription	identification
697	identification	identification
698	identification	identification
771	identification	identification
903	identification	identification
944	preparation	classascription
967	identification	propertyascription
991	identification	classascription
1026	identification	propertyascription
1033	propertyascription	identification
1297	preparation	identification
1359	preparation	identification
1364	identification	identification
1423	identification	identification
1424	identification	identification
1511	identification	identification
1531	elaboration	identification
1595	propertyascription	propertyascription
1679	identification	identification
1742	preparation	identification
1759	preparation	preparation
1837	identification	classascription
1863	identification	identification
1993	propertyascription	identification
2079	identification	identification
2105	identification	identification
2119	identification	identification
2146	identification	identification
2154	identification	identification
2199	identification	elaboration
2233	identification	identification
2245	identification	identification
2269	identification	identification
2288	identification	identification
2329	propertyascription	identification
2330	identification	identification
2339	identification	identification
2407	elaboration	elaboration
2443	identification	identification
2515	identification	identification
2516	propertyascription	identification
2524	preparation	identification
2539	identification	identification
2560	identification	identification
2592	identification	identification
2667	identification	identification
2680	identification	identification
2699	identification	identification
2703	identification	identification
2722	propertyascription	identification
2762	identification	identification
2867	identification	preparation
3055	preparation	identification
3065	preparation	preparation
3106	preparation	preparation
3123	propertyascription	propertyascription
3176	propertyascription	preparation
3338	propertyascription	preparation
3373	propertyascription	identification
3393	identification	preparation
3451	propertyascription	preparation
3464	identification	preparation
3482	identification	identification
3860	preparation	preparation
3898	preparation	preparation
4046	preparation	identification
4071	preparation	preparation
4112	elaboration	identification
4115	preparation	identification
4164	identification	identification
4187	elaboration	elaboration
4294	preparation	preparation
4307	identification	identification
4336	identification	identification
4354	identification	classascription
4376	identification	propertyascription
4436	classascription	identification
4438	identification	propertyascription
4499	propertyascription	propertyascription
4501	propertyascription	propertyascription
4502	identification	propertyascription
4539	preparation	identification
4621	identification	identification
4672	propertyascription	propertyascription
4741	identification	identification
4759	propertyascription	propertyascription
4830	identification	identification
4838	propertyascription	identification
4850	preparation	preparation
