image	result	hint
https://s3.datacloud.helsinki.fi/crowdsrc:disc-rel/3975_train.png	b	Incorrect. Think about the relationship between the elements A and B.
https://s3.datacloud.helsinki.fi/crowdsrc:disc-rel/4369_train.png	c	Incorrect. Think about the relationship between the elements A and B.
https://s3.datacloud.helsinki.fi/crowdsrc:disc-rel/2591_train.png	a	Incorrect. Think about the relationship between the elements A and B.
https://s3.datacloud.helsinki.fi/crowdsrc:disc-rel/4515_train.png	a	Incorrect. Think about the relationship between the elements A and B.
https://s3.datacloud.helsinki.fi/crowdsrc:disc-rel/1242_train.png	d	Incorrect. Think about the relationship between the elements A and B.
https://s3.datacloud.helsinki.fi/crowdsrc:disc-rel/4528_train.png	a	Incorrect. Think about the relationship between the elements A and B.
https://s3.datacloud.helsinki.fi/crowdsrc:disc-rel/53_train.png	c	Incorrect. Think about the relationship between the elements A and B.
https://s3.datacloud.helsinki.fi/crowdsrc:disc-rel/1435_train.png	b	Incorrect. Think about the relationship between the elements A and B.
https://s3.datacloud.helsinki.fi/crowdsrc:disc-rel/2695_train.png	c	Incorrect. Think about the relationship between the elements A and B.
https://s3.datacloud.helsinki.fi/crowdsrc:disc-rel/4086_train.png	b	Incorrect. Think about the relationship between the elements A and B.
