INPUT:image	INPUT:assignment_id	OUTPUT:result	GOLDEN:result	HINT:text	HINT:default_language	ASSIGNMENT:link	ASSIGNMENT:worker_id
https://s3.datacloud.helsinki.fi/crowdsrc:disc-rel/3106_pair.png		propertyascription				https://toloka.yandex.ru/task/37371530/00023a3e8a--63ca60a31193410be09f0fbc	59febc352486f8cba224157814ba811a
https://s3.datacloud.helsinki.fi/crowdsrc:disc-rel/2233_pair.png		identification				https://toloka.yandex.ru/task/37371530/00023a3e8a--63ca60a31193410be09f0fbc	59febc352486f8cba224157814ba811a
https://s3.datacloud.helsinki.fi/crowdsrc:disc-rel/219_pair.png		elaboration				https://toloka.yandex.ru/task/37371530/00023a3e8a--63ca60a31193410be09f0fbc	59febc352486f8cba224157814ba811a
https://s3.datacloud.helsinki.fi/crowdsrc:disc-rel/3123_pair.png		propertyascription				https://toloka.yandex.ru/task/37371530/00023a3e8a--63ca60a31193410be09f0fbc	59febc352486f8cba224157814ba811a
https://s3.datacloud.helsinki.fi/crowdsrc:disc-rel/4830_pair.png		propertyascription				https://toloka.yandex.ru/task/37371530/00023a3e8a--63ca60c4da85cf420e8c004e	59febc352486f8cba224157814ba811a
https://s3.datacloud.helsinki.fi/crowdsrc:disc-rel/4307_pair.png		elaboration				https://toloka.yandex.ru/task/37371530/00023a3e8a--63ca60c4da85cf420e8c004e	59febc352486f8cba224157814ba811a
https://s3.datacloud.helsinki.fi/crowdsrc:disc-rel/4850_pair.png		elaboration				https://toloka.yandex.ru/task/37371530/00023a3e8a--63ca60c4da85cf420e8c004e	59febc352486f8cba224157814ba811a
https://s3.datacloud.helsinki.fi/crowdsrc:disc-rel/4071_pair.png		elaboration				https://toloka.yandex.ru/task/37371530/00023a3e8a--63ca60c4da85cf420e8c004e	59febc352486f8cba224157814ba811a
https://s3.datacloud.helsinki.fi/crowdsrc:disc-rel/2079_pair.png		identification				https://toloka.yandex.ru/task/37371530/00023a3e8a--63ca60e3da85cf420e8c0695	59febc352486f8cba224157814ba811a
https://s3.datacloud.helsinki.fi/crowdsrc:disc-rel/2339_pair.png		identification				https://toloka.yandex.ru/task/37371530/00023a3e8a--63ca60e3da85cf420e8c0695	59febc352486f8cba224157814ba811a
https://s3.datacloud.helsinki.fi/crowdsrc:disc-rel/2119_pair.png		identification				https://toloka.yandex.ru/task/37371530/00023a3e8a--63ca60e3da85cf420e8c0695	59febc352486f8cba224157814ba811a
https://s3.datacloud.helsinki.fi/crowdsrc:disc-rel/2515_pair.png		elaboration				https://toloka.yandex.ru/task/37371530/00023a3e8a--63ca60e3da85cf420e8c0695	59febc352486f8cba224157814ba811a
https://s3.datacloud.helsinki.fi/crowdsrc:disc-rel/4112_pair.png		propertyascription				https://toloka.yandex.ru/task/37371530/00023a3e8a--63ca60ebfdad723ce40681a4	d81b5b6f753d11e4e81425105cbbbbd6
https://s3.datacloud.helsinki.fi/crowdsrc:disc-rel/4071_pair.png		preparation				https://toloka.yandex.ru/task/37371530/00023a3e8a--63ca60ebfdad723ce40681a4	d81b5b6f753d11e4e81425105cbbbbd6
https://s3.datacloud.helsinki.fi/crowdsrc:disc-rel/2079_pair.png		identification				https://toloka.yandex.ru/task/37371530/00023a3e8a--63ca60ebfdad723ce40681a4	d81b5b6f753d11e4e81425105cbbbbd6
https://s3.datacloud.helsinki.fi/crowdsrc:disc-rel/4307_pair.png		identification				https://toloka.yandex.ru/task/37371530/00023a3e8a--63ca60ebfdad723ce40681a4	d81b5b6f753d11e4e81425105cbbbbd6
https://s3.datacloud.helsinki.fi/crowdsrc:disc-rel/4502_pair.png		propertyascription				https://toloka.yandex.ru/task/37371530/00023a3e8a--63ca60ff31137c0478d96fd7	59febc352486f8cba224157814ba811a
https://s3.datacloud.helsinki.fi/crowdsrc:disc-rel/3393_pair.png		identification				https://toloka.yandex.ru/task/37371530/00023a3e8a--63ca60ff31137c0478d96fd7	59febc352486f8cba224157814ba811a
https://s3.datacloud.helsinki.fi/crowdsrc:disc-rel/4112_pair.png		elaboration				https://toloka.yandex.ru/task/37371530/00023a3e8a--63ca60ff31137c0478d96fd7	59febc352486f8cba224157814ba811a
https://s3.datacloud.helsinki.fi/crowdsrc:disc-rel/2288_pair.png		identification				https://toloka.yandex.ru/task/37371530/00023a3e8a--63ca60ff31137c0478d96fd7	59febc352486f8cba224157814ba811a
https://s3.datacloud.helsinki.fi/crowdsrc:disc-rel/3464_pair.png		elaboration				https://toloka.yandex.ru/task/37371530/00023a3e8a--63ca610659c8150856e0dbde	d81b5b6f753d11e4e81425105cbbbbd6
https://s3.datacloud.helsinki.fi/crowdsrc:disc-rel/2524_pair.png		preparation				https://toloka.yandex.ru/task/37371530/00023a3e8a--63ca610659c8150856e0dbde	d81b5b6f753d11e4e81425105cbbbbd6
https://s3.datacloud.helsinki.fi/crowdsrc:disc-rel/3451_pair.png		propertyascription				https://toloka.yandex.ru/task/37371530/00023a3e8a--63ca610659c8150856e0dbde	d81b5b6f753d11e4e81425105cbbbbd6
https://s3.datacloud.helsinki.fi/crowdsrc:disc-rel/2339_pair.png		identification				https://toloka.yandex.ru/task/37371530/00023a3e8a--63ca610659c8150856e0dbde	d81b5b6f753d11e4e81425105cbbbbd6
