id	answer	gold
1032.png	describes	property-ascription
1032.png	names	property-ascription
1032.png	types	property-ascription
1032.png	describes	property-ascription
1032.png	describes	property-ascription
1130.png	pollen	preparation
1130.png	is the common name of	preparation
1130.png	gives information about	preparation
1130.png	part b is the title	preparation
1130.png	describes	preparation
1157.png	part b is the stem of a flower	preparation
1157.png	diagram of the parts of a plant which are solid and visible in a plant	preparation
1157.png	describes	preparation
1157.png	grows	preparation
1157.png	parts	preparation
1242.png	names	identification
1242.png	phases	identification
1242.png	describes	identification
1242.png	names	identification
1242.png	names	identification
1389.png	describes	preparation
1389.png	names	preparation
1389.png	names	preparation
1389.png	gives information about	preparation
1389.png	digests	preparation
1435.png	names	identification
1435.png	names	identification
1435.png	planets	identification
1435.png	describe	identification
1435.png	is a class of	identification
1443.png	describes	identification
1443.png	describes	identification
1443.png	shows	identification
1443.png	part b is an insect	identification
1443.png	names	identification
1466.png	contains	preparation
1466.png	describes	preparation
1466.png	is a part of	preparation
1466.png	names	preparation
1466.png	names	preparation
1474.png	part b is the smoke from the volcano	identification
1474.png	describes	identification
1474.png	describes	identification
1474.png	names	identification
1474.png	describes	identification
1479.png	describes	identification
1479.png	part b is the river bank	identification
1479.png	describes	identification
1479.png	names	identification
1479.png	waters	identification
149.png	names	identification
149.png	describes	identification
149.png	names	identification
149.png	names	identification
149.png	names	identification
1541.png	describes	identification
1541.png	names	identification
1541.png	names	identification
1541.png	describes	identification
1541.png	names	identification
1640.png	names	identification
1640.png	part b is the letter	identification
1640.png	is a class of	identification
1640.png	is a name of	identification
1640.png	names	identification
1667.png	illuminates	identification
1667.png	is a class of	identification
1667.png	names	identification
1667.png	describes	identification
1667.png	names	identification
1676.png	describes	identification
1676.png	describes the position of	identification
1676.png	describes	identification
1676.png	the shadow of the sun is reflected on the ground	identification
1676.png	describes	identification
1690.png	names	identification
1690.png	names	identification
1690.png	lighting	identification
1690.png	named	identification
1690.png	names	identification
1814.png	is a class of	identification
1814.png	describes	identification
1814.png	is the class of	identification
1814.png	is the class of	identification
1814.png	names	identification
2031.png	is the class of	class-ascription
2031.png	part b is a bird	class-ascription
2031.png	describes	class-ascription
2031.png	names	class-ascription
2031.png	names	class-ascription
2061.png	names	identification
2061.png	is a class of	identification
2061.png	is the class of	identification
2061.png	is the class of	identification
2061.png	describes	identification
2074.png	names	identification
2074.png	the image is showing towards the very good element	identification
2074.png	describes	identification
2074.png	fish	identification
2074.png	names	identification
2129.png	fed	identification
2129.png	names	identification
2129.png	names	identification
2129.png	is the class of	identification
2129.png	names	identification
2223.png	describes	identification
2223.png	names	identification
2223.png	names	identification
2223.png	part b is fish roe	identification
2223.png	names	identification
2238.png	insects	identification
2238.png	names	identification
2238.png	describes	identification
2238.png	describes	identification
2238.png	is a class of	identification
2240.png	is the class of	identification
2240.png	labels	identification
2240.png	describes	identification
2240.png	describes	identification
2240.png	names	identification
2273.png	part b is part of the plant	identification
2273.png	names	identification
2273.png	describes	identification
2273.png	names	identification
2273.png	names	identification
2319.png	names	identification
2319.png	describes	identification
2319.png	describes	identification
2319.png	names	identification
2319.png	names	identification
2364.png	is life cycles names of	identification
2364.png	is breeding stage of	identification
2364.png	describes	identification
2364.png	describes	identification
2364.png	metamorphose	identification
2449.png	describes	identification
2449.png	describes	identification
2449.png	describes	identification
2449.png	describes	identification
2449.png	names	identification
245.png	labeled polar bear at the top of food chain	identification
245.png	polar bear	identification
245.png	is the class of	identification
245.png	names	identification
245.png	names	identification
2529.png	part b is the letter	identification
2529.png	names	identification
2529.png	names	identification
2529.png	names	identification
2529.png	names	identification
2541.png	describes	identification
2541.png	shapes	identification
2541.png	is a name of	identification
2541.png	describes	identification
2541.png	describes the state of	identification
2591.png	precedes	property-ascription
2591.png	describes	property-ascription
2591.png	describes	property-ascription
2591.png	names	property-ascription
2591.png	describes the position of	property-ascription
266.png	describes	identification
266.png	names	identification
266.png	is the class of	identification
266.png	part b is an insect	identification
266.png	is a class of	identification
2695.png	intersects	elaboration
2695.png	cm	elaboration
2695.png	cannot judge	elaboration
2695.png	a describes the point b rotates around	elaboration
2695.png	names	elaboration
2721.png	describes	identification
2721.png	is a name of	identification
2721.png	names	identification
2721.png	describes	identification
2721.png	planets	identification
2740.png	names	identification
2740.png	names	identification
2740.png	a is the label or the one describing the illustration b.	identification
2740.png	names	identification
2740.png	names	identification
2807.png	is a part of	identification
2807.png	insects	identification
2807.png	names	identification
2807.png	describes	identification
2807.png	is family of	identification
2827.png	is the class of	identification
2827.png	multiply	identification
2827.png	names	identification
2827.png	is the class of	identification
2827.png	describes	identification
2846.png	names	elaboration
2846.png	names items contained in	elaboration
2846.png	seeds	elaboration
2846.png	names	elaboration
2846.png	ripen	elaboration
287.png	describes	identification
287.png	is the class of	identification
287.png	is the class of	identification
287.png	is a class of	identification
287.png	is the class of	identification
2900.png	describes	identification
2900.png	describes	identification
2900.png	gives information about	identification
2900.png	describes	identification
2900.png	gives information about	identification
3013.png	is the class of	preparation
3013.png	describes	preparation
3013.png	describes	preparation
3013.png	hairs	preparation
3013.png	gives information about	preparation
3015.png	gives information about	preparation
3015.png	gives information about	preparation
3015.png	names	preparation
3015.png	gives information about	preparation
3015.png	is description of	preparation
3201.png	plant is common relationship between them	preparation
3201.png	consists of	preparation
